"id","staff_fte","beds","remote","case_mix","discharges","alos","bed_days","days","outpatients","cost_idr","inpatient_share","expected_deaths","deaths","bor","bto","unitcost_ip"
"RS-S021",99.3,153,1,1.28472661972046,4371,4.35300846488218,19027,365,28800,13684762270,0.6,112,125,34.0710896230638,28.5686274509804,1878484.86890872
"RS-S022",177.5,111,0,1.06610073838383,5889,3.15673289183223,18590,365,38193,21201861166,0.6,126,117,45.8842404047884,53.0540540540541,2160148.8707081
"RS-S023",154.4,92,0,1.001486617513,4466,3.25660546350202,14544,365,18111,18281121901,0.6,89,97,43.3114949374628,48.5434782608696,2456039.66426332
"RS-S024",212.8,55,0,1.23144545927644,5229,3.64716006884682,19071,365,17734,21494644130,0.6,129,138,94.9987546699875,95.0727272727273,2466396.34308663
"RS-S025",167.4,127,0,1.45021702144295,4829,5.38144543383723,25987,365,16995,19696581553,0.6,140,129,56.0608348613957,38.0236220472441,2447287.00182232
"RS-S026",125.7,139,0,1.46238397005945,3609,4.4621778886118,16104,365,23939,15564703711,0.6,106,109,31.7414013994284,25.9640287769784,2587648.16475478
"RS-S027",232.1,109,0,1.04902866948396,4316,3.17701575532901,13712,365,23005,26100799122,0.6,91,88,34.4652507226342,39.5963302752294,3628470.68424467
"RS-S028",226.8,128,0,1.0894181670621,5157,4.87550901687027,25143,365,31497,24262632517,0.6,112,118,53.816352739726,40.2890625,2822877.54706225
"RS-S029",59.8,171,0,1.28962604571134,3298,3.07125530624621,10129,365,16410,11005933073,0.6,85,98,16.2284707201794,19.2865497076023,2002292.25100061
"RS-S030",40,85,0,1.04447748102248,2237,5.84532856504247,13076,365,12827,6954472896,0.6,47,54,42.146655922643,26.3176470588235,1865303.41421547
"RS-S031",238.9,149,0,0.866476679965854,4493,3.69886490095704,16619,365,16917,26808299508,0.6,78,59,30.5580582881309,30.1543624161074,3580008.83703539
"RS-S032",73,164,0,1.05340049993247,3660,4.97377049180328,18204,365,17125,12996016438,0.6,77,68,30.4109589041096,22.3170731707317,2130494.49803279
"RS-S033",195.4,35,0,0.800751860626042,3376,3.59478672985782,12136,365,14434,19014120642,0.6,54,57,94.9980430528376,96.4571428571429,3379286.84395735
"RS-S034",77.9,122,0,1.13924660757184,2859,4.97131864288213,14213,365,14695,11413137008,0.6,65,68,31.9178082191781,23.4344262295082,2395201.89045121
"RS-S035",69.3,148,1,0.920953623391688,3938,3.81437277805993,15021,365,20983,11756981254,0.6,73,71,27.8063680118475,26.6081081081081,1791312.53235145
"RS-S036",170.8,138,0,1.37517008427531,4645,5.64348762109795,26214,365,16441,22498397652,0.6,128,133,52.0428826682549,33.6594202898551,2906143.93782562
"RS-S037",76.5,54,0,1.25416586995125,2051,5.97172111165285,12248,365,6353,8518751326,0.6,51,57,62.1410451547438,37.9814814814815,2492077.42350073
"RS-S038",207.7,111,0,0.967504658550024,4727,4.31161413158451,20381,365,17512,24903972977,0.6,91,83,50.3048253733185,42.5855855855856,3161071.24734504
"RS-S039",121.4,94,0,1.10767886582762,3665,4.60190995907231,16866,365,18344,14255703634,0.6,81,93,49.1576799766832,38.9893617021277,2333812.3275307
"RS-S040",163.4,104,1,0.96831661593169,4505,3.26281908990011,14699,365,31376,19789406550,0.6,87,80,38.7223393045311,43.3173076923077,2635659.0299667
"RS-S041",157.2,124,0,1.56313907653093,4605,4.64668838219327,21398,365,14608,19331962672,0.6,144,142,47.2779496243924,37.1370967741936,2518822.49798046
"RS-S042",236.4,138,0,1.47643774803728,4816,3.04568106312292,14668,365,30533,27876465030,0.6,142,141,29.1205082390312,34.8985507246377,3472981.5236711
"RS-S043",216.3,134,0,0.883266784995794,4575,4.54185792349727,20779,365,31388,24971290010,0.6,81,92,42.4841545696177,34.1417910447761,3274923.28
"RS-S044",102.1,164,1,1.22689822949469,3798,4.5724065297525,17366,365,21510,14172521664,0.6,93,87,29.0110257266956,23.1585365853659,2238944.97061611
"RS-S045",109.2,83,1,0.941653064452112,3662,5.86755871108684,21487,365,13752,12620716292,0.6,69,63,70.925895362271,44.1204819277108,2067839.91676679
"RS-S046",48.6,51,0,0.948478947207332,1342,3.6698956780924,4925,365,6264,6800083424,0.6,25,28,26.4571582057481,26.3137254901961,3040275.74843517
"RS-S047",176.8,110,1,0.917174790240824,4005,5.29812734082397,21219,365,22986,21066298524,0.6,73,71,52.8493150684931,36.4090909090909,3155999.7788764
"RS-S048",170.9,169,0,1.188909644261,4724,5.66553767993226,26764,365,18140,23450142607,0.6,112,122,43.38818189187,27.9526627218935,2978426.24136325
"RS-S049",97.5,59,1,1.38095963224769,2965,3.74873524451939,11115,365,15268,12109443620,0.6,82,75,51.6136521941026,50.2542372881356,2450477.6296796
"RS-S050",161.9,148,0,1.16512164026499,4572,3.0424321959755,13910,365,28335,20992024777,0.6,107,106,25.7497223250648,30.8918918918919,2754858.89461942
"RS-S051",224.9,126,0,0.871034207940102,6018,4.30043203722167,25880,365,23041,25025718003,0.6,105,95,56.2731028484453,47.7619047619048,2495086.54067797
"RS-S052",232.5,166,0,1.02399142123759,7740,4.93255813953488,38178,365,31281,27566567373,0.6,159,149,63.0103977554052,46.6265060240964,2136943.2072093
"RS-S053",195.9,140,1,1.04977375268936,5978,5.83924389427902,34907,365,19434,24693934209,0.6,126,136,68.3111545988258,42.7,2478481.1852459
"RS-S054",208.8,75,0,1.57786620184779,4347,5.76098458707154,25043,365,15329,22490257230,0.6,137,127,91.4812785388128,57.96,3104245.30434783
"RS-S055",68.3,52,0,1.35333272423595,1748,4.68020594965675,8181,365,9424,8562581486,0.6,47,49,43.1032665964173,33.6153846153846,2939101.19656751
"RS-S056",199.7,85,0,1.0723152352497,5417,5.44101901421451,29474,365,36635,21926525936,0.6,116,116,95.0008058017728,63.7294117647059,2428634.95691342
"RS-S057",176.2,84,0,1.34800357948989,3222,5.49317194289261,17699,365,14545,20821588900,0.6,87,88,57.7266797129811,38.3571428571429,3877390.8566108
"RS-S058",176,65,0,1.59894794430584,3428,3.38127187864644,11591,365,17396,18012989807,0.6,110,114,48.8556375131718,52.7384615384615,3152798.68267211
"RS-S059",209.6,62,1,1.21110421773046,4433,3.59936837356192,15956,365,21288,21389121158,0.6,107,103,70.5081749889527,71.5,2894985.94513873
"RS-S060",85.4,61,0,1.48118418902159,2608,4.46932515337423,11656,365,9309,10477708036,0.6,77,56,52.351223894004,42.7540983606557,2410515.65245399
"RS-S061",134.2,59,1,1.55134634114802,2848,3.43574438202247,9785,365,13711,13954248383,0.6,88,75,45.4376596238681,48.271186440678,2939799.51889045
"RS-S062",74.9,57,0,0.84368809517473,2593,3.40879290397223,8839,365,17732,9158314070,0.6,44,34,42.4849795722182,45.4912280701754,2119162.53065947
"RS-S063",69.3,112,0,0.980075662024319,2948,3.00610583446404,8862,365,11596,10777242369,0.6,58,51,21.6780821917808,26.3214285714286,2193468.59613297
"RS-S064",85.1,61,0,1.55468935798854,3042,3.44871794871795,10491,365,19218,10598827358,0.6,95,83,47.1187963170896,49.8688524590164,2090498.49270217
"RS-S065",180.6,46,0,1.06605382543057,2923,5.26582278481013,15392,365,11735,20109923545,0.6,62,74,91.6736152471709,63.5434782608696,4127935.04173794
"RS-S066",110.1,176,0,1.48444305472076,4518,4.22532093846835,19090,365,19586,15257044795,0.6,134,146,29.7166874221669,25.6704545454545,2026167.96746348
"RS-S067",40.6,141,1,1.46853873357177,2474,3.29143088116411,8143,365,17249,8392676547,0.6,73,68,15.8224035752453,17.5460992907801,2035410.64195635
"RS-S068",196,111,1,1.51065551415086,4456,3.54219030520646,15784,365,29287,22945555360,0.6,135,136,38.9584104652598,40.1441441441441,3089616.96947935
"RS-S069",237.7,171,0,0.961173500679433,7206,5.2413266722176,37769,365,42488,28184431062,0.6,139,152,60.5126972682849,42.140350877193,2346746.96602831
"RS-S070",182.2,161,0,1.12323927599937,6106,4.27055355388143,26076,365,39641,24320116621,0.6,137,134,44.3733514847273,37.9254658385093,2389792.00337373
"RS-S071",198.2,83,1,1.5994559681043,4394,3.66954938552572,16124,365,28174,22583298541,0.6,141,140,53.2233041756065,52.9397590361446,3083745.8180701
"RS-S072",70.7,40,0,0.914697000570595,1715,3.63848396501458,6240,365,7415,7641265520,0.6,31,35,42.7397260273973,42.875,2673329.04489796
"RS-S073",77.3,113,0,1.10047007929534,3093,4.44390559327514,13745,365,19139,10562519138,0.6,68,78,33.3252515456419,27.3716814159292,2048985.28380213
"RS-S074",239.1,86,0,1.05014701746404,4787,5.00313348652601,23950,365,15673,25566762811,0.6,101,115,76.2981841350749,55.6627906976744,3204524.27127637
"RS-S075",120.6,129,0,1.00594844482839,2971,5.82733086502861,17313,365,10736,15858812574,0.6,60,55,36.7696718700223,23.031007751938,3202722.16236957
"RS-S076",192.3,49,0,0.811925484798849,3499,4.8559588453844,16991,365,11359,19059403229,0.6,57,70,95.0013978194017,71.4081632653061,3268260.05641612
"RS-S077",210.4,57,0,1.40475026667118,4483,4.4088779834932,19765,365,20685,21651760279,0.6,126,145,95.0012016342225,78.6491228070175,2897848.7993308
"RS-S078",159.9,57,0,0.914843564294279,4178,4.73073240785065,19765,365,13726,16255044104,0.6,76,69,95.0012016342225,73.2982456140351,2334376.845955
"RS-S079",133.7,55,0,1.58665620200336,3415,3.38887262079063,11573,365,13175,15029885819,0.6,108,115,57.6488169364882,62.0909090909091,2640682.72076135
"RS-S080",200,134,1,1.34287573322654,6288,5.35400763358779,33666,365,38670,22759365107,0.6,169,156,68.8325495808628,46.9253731343284,2171695.14379771
"RS-S081",227.5,86,0,1.00979260075837,3600,4.40472222222222,15857,365,24503,24574752890,0.6,73,84,50.5160879260911,41.8604651162791,4095792.14833333
"RS-S082",99.7,131,1,1.03371665682644,3811,4.15691419574915,15842,365,22451,13109129697,0.6,79,76,33.1318623862805,29.0916030534351,2063888.17061139
"RS-S083",150,77,0,1.32896386422217,4066,3.96753566158387,16132,365,16823,15817297890,0.6,108,113,57.3990393168475,52.8051948051948,2334082.32513527
"RS-S084",51.6,69,0,1.06219299957156,1951,4.09789851358278,7995,365,9263,7030515076,0.6,41,42,31.7450863609291,28.2753623188406,2162126.62511533
"RS-S085",59.1,43,0,1.09092348404229,1938,5.25902992776058,10192,365,9387,7472348064,0.6,42,50,64.9378783051927,45.0697674418605,2313420.45325077
"RS-S086",219.4,91,0,1.00244512632489,5139,3.28254524226503,16869,365,27467,25136493844,0.6,103,102,50.7872948968839,56.4725274725275,2934792.04249854
"RS-S087",41.8,166,1,1.56204779855907,2558,4.82212666145426,12335,365,12183,9920461362,0.6,80,76,20.3581449084007,15.4096385542169,2326926.0426896
"RS-S088",44.5,109,1,1.29065782818943,2074,4.0168756027001,8331,365,7616,7937287121,0.6,54,53,20.9400527837125,19.0275229357798,2296225.78235294
"RS-S089",172.4,67,1,1.40938109718263,4427,3.49107747910549,15455,365,28052,17950383170,0.6,125,112,63.1977100797383,66.0746268656716,2432850.66681726
"RS-S090",218.5,126,0,0.844010354951024,5997,5.82391195597799,34926,365,28953,23821633740,0.6,101,102,75.9425962165688,47.5952380952381,2383355.05152576
"RS-S091",139.8,147,0,0.83511459492147,4300,4.60139534883721,19786,365,21046,17582169213,0.6,72,72,36.8763395769267,29.2517006802721,2453325.93669767
"RS-S092",169.8,86,0,1.05860462877899,4116,3.46720116618076,14271,365,24390,19741483135,0.6,87,79,45.4635234151003,47.8604651162791,2877767.22084548
"RS-S093",137.9,137,0,0.977954206056893,5110,4.09628180039139,20932,365,19639,17962361213,0.6,100,98,41.8598140185981,37.2992700729927,2109083.50837573
"RS-S094",101,72,0,1.33632035292685,3021,4.0443561734525,12218,365,10288,11985659178,0.6,81,72,46.4916286149163,41.9583333333333,2380468.55571003
"RS-S095",111.8,92,1,1.4366802399978,2906,4.43943565037853,12901,365,15095,13091468049,0.6,83,78,38.4187016081001,31.5869565217391,2702987.20901583
"RS-S096",117.5,42,1,0.875278929248452,2278,3.80026338893766,8657,365,7125,12019977100,0.6,40,49,56.470971950424,54.2380952380952,3165928.99912204
"RS-S097",122.2,129,0,1.21326955147088,4264,5.28846153846154,22550,365,28150,15280677963,0.6,103,87,47.8921100138048,33.0542635658915,2150189.20680113
"RS-S098",116.3,118,1,1.31887650154531,3329,4.66987083208171,15546,365,18498,15004568075,0.6,88,79,36.0947295100998,28.2118644067797,2704337.89276059
"RS-S099",214.3,169,0,1.35123404227197,6521,5.12007360834228,33388,365,39972,25407557020,0.6,176,180,54.1266110075383,38.585798816568,2337760.19199509
"RS-S100",171.9,125,0,1.51054596435279,4133,5.26203726106944,21748,365,28378,21538045182,0.6,125,141,47.6668493150685,33.064,3126742.58630535
"RS-S101",174.5,88,1,1.34075993448496,4182,4.69177427068388,19621,365,15089,20254348136,0.6,112,124,61.0865504358655,47.5227272727273,2905932.30071736
"RS-S102",92.2,59,1,1.49787575323135,3214,5.37118855009334,17263,365,20248,10100964802,0.6,96,77,80.1625261202693,54.4745762711864,1885681.04579963
"RS-S103",189.3,32,0,0.960256051085889,2162,3.0522664199815,6599,365,11692,18236317118,0.6,42,50,56.4982876712329,67.5625,5060957.5720629
"RS-S104",106.9,169,0,0.985754260607064,4384,4.81843065693431,21124,365,16926,16058479022,0.6,86,86,34.2449542028046,25.9408284023669,2197784.53768248
"RS-S105",68.5,158,0,1.13953184708953,2726,3.993396918562,10886,365,9012,11763254178,0.6,62,70,18.8763655280042,17.253164556962,2589124.17710932
"RS-S106",165.7,82,1,1.49456439204514,3935,5.58780177890724,21988,365,14917,18460175171,0.6,118,116,73.464751085867,47.9878048780488,2814766.22683609
"RS-S107",54.7,96,0,0.943981243483722,2569,3.43635655897236,8828,365,8923,7915169599,0.6,49,58,25.1940639269406,26.7604166666667,1848618.82421176
"RS-S108",65.7,122,0,1.58228186815977,2668,3.80472263868066,10151,365,9519,10760872827,0.6,84,65,22.7958679541882,21.8688524590164,2419986.39287856
"RS-S109",96.8,178,0,1.4136617731303,4312,5.74025974025974,24752,365,14402,16159428747,0.6,122,115,38.097583500077,24.2247191011236,2248529.04642857
"RS-S110",112.2,71,0,0.993640995211899,4072,5.10830058939096,20801,365,18891,12337966612,0.6,81,87,80.2662550646344,57.3521126760563,1817971.50471513
"RS-S111",171.7,38,1,1.3802961435169,3153,4.17887725975262,13176,365,11862,17670923337,0.6,87,76,94.9963950973324,82.9736842105263,3362687.5998097
"RS-S112",216.4,34,0,0.923072115331888,3050,3.8655737704918,11790,365,16739,20981040055,0.6,56,50,95.0040290088638,89.7058823529412,4127417.71573771
"RS-S113",144.1,172,0,0.893638234585524,5820,3.03298969072165,17652,365,24456,20451965346,0.6,104,105,28.1172347881491,33.8372093023256,2108450.0356701
"RS-S114",99,159,1,1.10777341183275,5092,3.53750981932443,18013,365,34979,14546645613,0.6,113,135,31.0381666235892,32.0251572327044,1714058.79179104
"RS-S115",164.7,41,1,1.51707047838718,3770,3.7710875331565,14217,365,25707,18035960543,0.6,114,111,95.0016705646509,91.9512195121951,2870444.64875332
"RS-S116",91.1,168,0,1.2187607107684,4997,5.59095457274365,27938,365,32985,14519142437,0.6,122,133,45.5609915198956,29.7440476190476,1743343.09829898
"RS-S117",67.3,37,1,1.51798359211534,1081,4.83163737280296,5223,365,5153,7273687271,0.6,33,39,38.6745649759348,29.2162162162162,4037199.2253469
"RS-S118",67.8,114,0,0.855543304979801,3585,4.33891213389121,15555,365,20792,10565505834,0.6,61,75,37.3828406633021,31.4473684210526,1768285.49523013
"RS-S119",208.4,55,0,1.20354771558195,5033,3.25710311941188,16393,365,24599,23036481200,0.6,121,117,81.6587795765878,91.5090909090909,2746252.47764753
"RS-S120",113.8,150,1,1.45519969947636,3766,5.77376526818906,21744,365,16416,14805468977,0.6,110,112,39.7150684931507,25.1066666666667,2358810.77700478
