"id","region","doctors_100k","nurses_100k","midwives_100k","outpatient_pct","anc4_pct","birth_assisted_pct","immunization_pct"
"KAB-S023","Barat",43.0542164621875,168.253374993801,127.311323725153,60.86,62.3,71.44,57.03
"KAB-S024","Barat",21.5865494962782,135.800465932116,112.446407482494,44.41,57.45,52.2,50.27
"KAB-S025","Barat",42.9653239971958,91.268437448889,106.900958819315,59.94,67.04,56.29,52.31
"KAB-S026","Barat",40.6953955907375,92.4987064301968,102.37573555205,59.85,47.58,50.98,56.54
"KAB-S027","Barat",33.3475289912894,122.121308809146,119.506703496445,67.22,67,50.19,49.38
"KAB-S028","Barat",18.1110108364373,97.9347893688828,72.7271726331674,43.91,44.38,50.47,38.04
"KAB-S029","Barat",38.9403812773526,105.538210654631,149.479599671904,73.08,73.68,72.23,55.72
"KAB-S030","Barat",23.0685326526873,140.615134574473,159.115676169749,49.82,70.36,70.34,57.08
"KAB-S031","Barat",37.1293630404398,198.006982970983,79.5085445046425,56.39,65.79,71.1,59.51
"KAB-S032","Barat",18.3140103472397,168.009737180546,87.4949065549299,57.84,47.55,47.7,46.16
"KAB-S033","Barat",17.4444091203623,164.009320363402,60.7421229081228,41.86,40.75,49.31,41.23
"KAB-S034","Barat",18.872434864752,145.450470782816,149.826137602795,52.59,67.41,64.64,63.03
"KAB-S035","Barat",40.785577702336,154.493606090546,90.7838234934025,58.95,69.26,61.68,70.89
"KAB-S036","Barat",34.5251534390263,150.447035804391,54.9930416420102,46.47,55.66,44.08,54.1
"KAB-S037","Barat",34.8018069681711,116.227416656911,132.103630178608,59.14,65.53,52.94,70.71
"KAB-S038","Barat",40.1355728320777,111.772149214521,143.175643037539,54.15,68.11,68.64,61.01
"KAB-S039","Barat",43.049156719353,128.381797438487,158.905760354828,64.54,57.57,53.91,66.75
"KAB-S040","Barat",36.941379988566,82.8090105578303,108.945490987971,50.72,48.45,48.84,55.86
"KAB-S041","Tengah",25.6528953043744,199.646264966577,86.9336019386537,56.32,57.76,63.4,61.13
"KAB-S042","Tengah",43.9669639058411,130.467881839722,65.5942775006406,51.6,63.36,52.23,66.45
"KAB-S043","Tengah",19.3245331034996,104.270555870607,84.4990271097049,42.47,43.46,43.66,44.16
"KAB-S044","Tengah",22.8036777349189,117.88507765159,64.4378269650042,54.55,53.94,53.86,51.57
"KAB-S045","Tengah",26.6645542136393,106.203810879961,95.0506773311645,58.55,44.98,52.48,48.71
"KAB-S046","Tengah",28.1986238225363,148.680669348687,51.138844511006,50.86,48.27,48.17,53.32
"KAB-S047","Tengah",16.5351926023141,125.092491814867,152.820321191102,62.1,57.52,46.9,57.26
"KAB-S048","Tengah",36.2484124512412,157.892803158611,124.680966127198,69.67,73.58,53.98,67.91
"KAB-S049","Tengah",31.3228721008636,179.119085688144,144.364842781797,75.82,72.84,53.18,68.5
"KAB-S050","Tengah",34.7459365893155,84.4297185353935,142.244898085482,62.07,63.66,66.94,58.46
"KAB-S051","Tengah",22.8101277700625,126.23650145717,106.434138980694,57.21,52.58,49.35,48.94
"KAB-S052","Tengah",40.9814294963144,93.9498068206012,63.1333137396723,57.73,43.81,57.33,58.51
"KAB-S053","Tengah",35.8206939836964,110.049850223586,96.9363820692524,58.3,46.26,60.12,49.45
"KAB-S054","Tengah",22.0373540162109,157.343168379739,69.2051664553583,49.34,47.48,48.11,43.44
"KAB-S055","Tengah",39.3802189012058,189.768954943866,91.8435095832683,70.09,58.06,64.25,71.84
"KAB-S056","Tengah",28.1999584520236,108.701891610399,67.0657564001158,52.28,50.62,56.57,53.84
"KAB-S057","Tengah",19.7257789084688,125.106794359162,103.989640180953,42.48,49.98,47.07,48.77
"KAB-S058","Tengah",32.2698193299584,137.280091587454,52.2512724553235,44.7,58.72,46.55,58.44
"KAB-S059","Tengah",25.6979638827033,197.572574578226,108.290790077299,48.83,55.15,50.86,56.25
"KAB-S060","Tengah",27.6492329640314,154.069248940796,149.863686382305,52.21,65.85,72.05,54.23
"KAB-S061","Tengah",15.677961751353,156.533808624372,69.0138793271035,52.88,55.45,47.15,46.45
"KAB-S062","Tengah",37.9668922908604,124.044606955722,156.028443961404,68.59,54.24,52.1,72.61
"KAB-S063","Tengah",40.3234495315701,117.90332108736,122.346070548519,52.52,68.36,63.35,59.67
"KAB-S064","Tengah",15.0783803779632,178.686081236228,119.267810464371,47.38,60.55,65.83,60.02
"KAB-S065","Tengah",21.0610157833435,179.521139459684,51.3682357501239,47.44,52.38,54.19,52.49
"KAB-S066","Tengah",21.4206660795026,91.4794551581144,134.687968241051,50.14,46.91,44.33,45.87
"KAB-S067","Tengah",31.8395044631325,131.247534453869,103.447768730111,50.23,55.93,63.09,50.77
"KAB-S068","Tengah",33.0728789814748,148.20218580775,84.9077593092807,47.28,47.33,57.21,65.42
"KAB-S069","Tengah",33.7058188347146,80.3713293746114,125.925811491907,49.1,63.25,55.09,45.92
"KAB-S070","Tengah",40.3656329400837,120.859468467534,123.956880376209,57.8,70,67.81,51.1
"KAB-S071","Tengah",20.2993778209202,158.46455107443,145.871321412269,56.17,58.47,64.72,50.27
"KAB-S072","Tengah",18.112599584274,192.005756469443,129.472975616809,69.26,70.11,50.24,63.09
"KAB-S073","Tengah",39.5080438675359,132.999589564279,91.4239190844819,62.84,67.58,53.78,67.05
"KAB-S074","Tengah",28.1053972500376,170.687046358362,139.320973146241,58.58,64.47,55.67,70.56
"KAB-S075","Tengah",31.3794654118828,84.8991862498224,142.336658043787,48.89,60.41,58.06,60.6
"KAB-S076","Tengah",35.647233990021,146.18824721314,71.0614790208638,45.33,49.39,45.65,54.86
"KAB-S077","Tengah",38.879776513204,80.3878525365144,158.36408065632,65.62,57.45,70.2,62.37
"KAB-S078","Tengah",29.6631147363223,161.550210509449,80.7258278597146,63.82,62.51,50.59,50.12
"KAB-S079","Tengah",19.2391398595646,123.027603989467,50.1195458625443,43.68,49.15,43.52,45.69
"KAB-S080","Tengah",39.6288470970467,162.957728300244,107.039110548794,65.24,64.43,53.2,54.46
"KAB-S081","Timur",28.2974046072923,158.437024150044,61.0955704282969,46.1,47.53,53.81,61.62
"KAB-S082","Timur",38.9848664402962,106.587620489299,128.557902390603,48.81,70.95,59.69,64.19
"KAB-S083","Timur",44.8364871181548,89.2312416993082,144.797028542962,59.14,57.8,53.32,54.46
"KAB-S084","Timur",17.7435363200493,150.81093817018,97.1956186997704,55.31,60.51,58.73,51.01
"KAB-S085","Timur",26.5774309029803,89.059543106705,145.510367762763,45.18,63.21,63.88,58.47
"KAB-S086","Timur",33.899090134073,181.505114315078,101.629514123779,69,49.65,67.64,60.97
"KAB-S087","Timur",23.151724585332,175.540816746652,109.387477580458,64.95,47.35,50.41,49.6
"KAB-S088","Timur",32.2459246055223,114.104902800173,128.092240723781,51.94,66.91,57.89,61.95
"KAB-S089","Timur",25.2432708372362,171.753907119855,121.990178909618,63.03,60.92,67.51,52.15
"KAB-S090","Timur",21.5507619967684,105.489453487098,65.2277509192936,41.67,47.83,46.29,45.74
"KAB-S091","Timur",42.7783819986507,145.259183095768,126.885729613714,62.52,52.68,61.67,65.17
"KAB-S092","Timur",28.8719439972192,119.382022749633,110.695307222195,56.96,49.08,49.34,60.29
"KAB-S093","Timur",37.1249015978537,139.371487656608,72.2099681338295,56.02,53.84,48.48,53.26
"KAB-S094","Timur",18.2686520623975,96.6732247360051,143.981282231398,44.88,51.27,49.82,44.03
"KAB-S095","Timur",43.3535476773977,114.145253952593,131.217223324347,68.03,68.56,50.53,55.88
"KAB-S096","Timur",24.8667740612291,179.974493579939,134.939400574658,63.04,70.51,55.15,56.36
"KAB-S097","Timur",25.7305147871375,103.493252815679,129.154027535114,60.75,57.46,57.27,61.34
"KAB-S098","Timur",27.3507443745621,88.1714008934796,52.8476220578887,44.04,48.16,40.07,46.19
"KAB-S099","Timur",15.2353877923451,156.096802707762,102.96713690972,57.71,58.6,53.39,49.59
"KAB-S100","Timur",31.366012331564,92.732610674575,87.190240577329,58.77,59.77,46.38,46.04
"KAB-S101","Timur",32.2067728056572,175.941256610677,98.6856677383184,50.01,59.2,68.85,71.29
"KAB-S102","Timur",23.8550990936346,108.666920242831,137.42895873962,54.73,47.91,49.56,54.88
"KAB-S103","Timur",37.8263963526115,115.969095705077,84.413778022863,51.23,45.06,51.43,53.18
"KAB-S104","Timur",34.0389579324983,130.391637338325,66.7858296493068,54.74,51.58,50.34,54.46
"KAB-S105","Timur",17.2355488291942,118.736792504787,122.834088893142,45.06,47.98,53.93,45.21
"KAB-S106","Timur",36.1895740195177,151.556775365025,110.124808815308,50.71,61.75,56.71,60.94
"KAB-S107","Timur",24.5772759639658,122.524865847081,122.651737162378,64.19,56.25,52.43,48.22
"KAB-S108","Timur",32.1534689585678,105.041881538928,111.434212736785,47.08,58.71,55.41,58.92
"KAB-S109","Timur",34.6402527205646,114.036879884079,120.96630061511,54.27,60.78,59.44,48.41
"KAB-S110","Timur",42.659676305484,87.9042287915945,138.434543190524,51.3,64.15,52.78,71.9
"KAB-S111","Timur",36.6185533627868,168.855163790286,99.5814343960956,59.46,53.56,52.59,52.23
"KAB-S112","Timur",24.5688526681624,188.718792470172,51.4221354946494,62.11,53.76,53.44,57.79
"KAB-S113","Timur",34.0007793623954,164.691236969084,143.474907909986,52.77,63.5,67.04,55.39
"KAB-S114","Timur",22.3185499361716,158.527895016596,53.2195941288956,48.57,52.82,51.62,50.14
"KAB-S115","Timur",33.0408147163689,156.986177815124,80.8421469200402,58.44,65.41,46.75,54.3
"KAB-S116","Timur",34.7327749617398,127.577571514994,136.26810537884,64.73,52.43,71.37,53.26
"KAB-S117","Timur",30.4558706749231,133.942927923054,67.9614592855796,60.25,56.91,59.54,52.47
"KAB-S118","Timur",25.8842099457979,154.746979316697,76.6789558739401,59.34,57.81,46.81,54.12
"KAB-S119","Timur",25.3506983094849,94.8003387916833,79.3752713571303,53.29,54.59,42.16,55.14
"KAB-S120","Timur",37.1249580010772,188.465284099802,53.5293879895471,57.92,51.76,62.28,57.24
