id_rs,gp_FTE,spec_FTE,nurse_total,other_prof,beds,outpatients,bed_days,admissions1,bed_occ,throughput,alos,totalcost_op,total_cost_bd,totalcost_ip,poorins,publichospital,classCD,non_JavaBali
142,6.916667,3.0449455,20,46,70,6903.333,13743,3280,.5378865,47.07143,4.1708651,99578.469,632321.88,629443.5,.63907272,0,1,1
106,28.9387,16.104773,193,213,282,92092,63898.672,18418,.62079728,65.312057,4.150702,1842793.3,5245834,5245833,.3078604,1,0,0
178,13.66667,7.2857141,168,47,83,34973,25852,6248,.85334212,75.277107,4.1376438,470186.34,764974.88,764975.13,.1595785,1,1,1
167,9.1079531,4.264976,108,110,100,20125.33,24644,5853.333,.67517811,60.080002,4.1018639,807825.94,2911025.8,2836085,.28619391,1,0,1
58,11.66815,30.04682,193,145,128,61015,27639,9254,.5915882,72.296883,4.0807619,1156703.1,2713228.3,2713228.5,.1629326,0,1,1
13,32.06493,11.448625,234,231,182,122765.3,44070,13994.67,.66340512,76.893784,4.0636239,645035.38,1125816.6,1125816.8,.1398927,1,0,1
195,43,21,326,340,367,52013,20379,10079,.1521332,54.240219,4.0619888,1343292.4,3719526.3,5112465,.2630859,1,1,1
27,10.65404,5.4905248,37,62,128,15384,18908.18,9150.667,.40471271,101.0422,4.057549,780606.13,838037.75,736135.56,.24904589,1,1,1
148,11.26786,.52995038,157.8472,104,156,27159.051,36013.328,9150.667,.63247859,58.658119,4.0032611,516076.19,2533387.5,2533387.8,.37657431,1,1,1
179,12.33333,5,157,236,200,26953.869,31010,7792,.4247945,38.959999,3.9951041,359533.5,1102351.3,1102351.4,.1758713,1,1,1
10,34.090912,15.916667,219.5556,46,119,7292,7237,1817,.1666168,15.26891,3.982939,411767.09,1245075.9,1245075.8,.1198177,1,1,1
165,26.25,9.166667,198,413,136,36449.328,31210.67,7837.333,.62874031,57.627449,3.982307,522669.09,3494218.8,3494218.5,.040800501,1,1,1
123,10.18118,19.889051,129,21,100,6878,18116,4576,.4963288,45.759998,3.9589159,390424.22,910543.13,910543,.2353835,0,1,0
95,8.8174181,5,105,89,80,7972,14733,3733,.50455481,46.662498,3.946692,391070.22,950369.13,950369.19,.1535625,0,1,0
64,14.79416,33.22187,378,256,333,155384.59,123787,29176,1.018446,94.246246,3.9442711,910257,3673503,3415056.8,.2120923,1,0,0
81,11,17.5,66,54,273,154469,92436,23562,.92765319,86.307693,3.9230959,1588014.6,3796523,3796523.8,.24993309,1,0,0
180,17.08333,8,234,234,151,25563.65,35722,9123,.64813572,60.417221,3.9155979,748563.63,2416815.8,2416816,.13782661,1,1,1
100,18.75499,12.132488,190,248,235,57360,67174,16691,.78314197,73.025543,3.914341,888938.69,2761738,2686101,.52343398,1,0,0
32,11.50575,43.402061,161,132,56,34408.031,21046,5393,1.0296479,96.303574,3.9024661,839568,2205160,2205158.8,.1167094,0,1,1
94,23.374109,26.94537,433,282,315,175986,80477.344,21874,.69995511,69.441269,3.889297,1078146.4,8315651,8315652.5,.1535625,1,0,0
171,13.87758,28.131149,120,5,103,21575,21107,5041,.56143111,52.79612,3.8813901,938597.13,1199344.8,1111787,.1080543,0,1,1
98,18.85714,31.714291,107,110,166,93155.477,64974,16773,1.072355,101.0422,3.8737259,1237729,3125364.5,3125365,.1226359,1,0,0
55,17.139299,3.058883,209,80,136,49864.199,37712,9448,.75970989,71.654411,3.8698821,941508.94,2136330,2071220.8,.25408211,1,1,1
187,9.2458887,33.752762,79,89,55,2364,10364,2689.333,.51626402,48.896969,3.858526,323500.88,1921577.9,1921577.4,.1816289,0,1,1
166,23.794161,6.353301,137,7,191,18273.67,40301,10460,.5780822,54.7644,3.8528681,589426.81,2301340.8,2301341.3,.1553693,1,1,1
75,35.083328,29.20046,750,133,390,143218,114617,29842,.80517739,76.517952,3.8434999,1685954.9,5883552,5883553,.1238103,1,0,0
19,11.16244,16.857143,43,43,91,1684,7738.667,2142.667,.23298711,23.54579,3.8411651,132933.58,527161.94,527162.06,.1739469,1,1,1
113,20.69976,15.843317,195,185,212,57737.781,58857,12996,.76062292,72.57547,3.825361,857293.06,3371946.3,2848161.8,.38074371,1,0,0
139,9.1646109,2.8546364,89.833344,56,187,15242,35812,8344,.52467948,50.160431,3.81791,160753.64,1183459.5,1052749.1,.6678018,0,1,1
153,14,16.838326,234.5,229,200,36541,49738,9969,.68134248,65.199997,3.8142641,903270.38,5021056,3838566.5,.1692853,1,1,1
26,14.81818,5.7749591,108,77,62,31477.859,9866,2588,.43596989,41.74194,3.8122101,611044.5,1032264.8,1032264.7,.25778309,1,1,1
136,15.83615,52.279659,126,94,94,12257,26778.67,9709,.66472173,101.0422,3.7931211,259063.97,3238098.3,2680980.3,.0234442,0,1,0
137,36.166672,2.833333,218,192,118,228805.3,25323,6248,.3930786,61.64706,3.7931211,2326294.5,1944424.8,1831883.6,.0234442,0,1,0
111,13,38.044159,261,185,201,180095.7,55141,14572,.75159818,72.497513,3.7840381,1522289.1,3345970.3,3345970.3,.14664701,1,0,0
131,21,32.5,237,170,407,85573.711,97540,25808,.65659177,63.41032,3.7798879,1252209.6,3283661.8,3283660.3,.2212784,1,0,0
146,9.8026114,.1324876,137,62,91,30064,27918.67,8354.667,.84054393,91.809517,3.753181,137105.28,476978.47,476978.56,.53713351,1,1,1
11,15.46451,8.2649746,209,104,123,38548,17428,5036,.38819471,40.943089,3.7471509,229293.13,215814.41,215814.45,.1006194,1,0,1
169,10.23492,3,188,57,108,15501,28731,7679,.72884321,71.101852,3.741503,411867.97,2082542.4,2082542.5,.1498567,1,1,1
52,17.9457,89.82589,213,184,203,111828.4,30031,7225,.40530401,39.57143,3.7384541,2797583.3,6600120,5936247,.034836002,0,0,1
154,17.36364,6.243566,149,198,128,37585.34,23658.67,6340,.50639272,49.53125,3.7316511,500305.25,2569802.3,2569801.8,.19758169,1,1,1
191,14.28014,11.0714,67.5,43,119,1571.333,18746,5158,.4315874,43.34454,3.7312901,100936.97,1120062.6,1120062.8,.333105,0,1,1
119,5.0112362,12.179782,40,28,61,600,12957,3486,.58194482,57.147541,3.716867,69071.477,510170.34,510170.19,.15559611,0,1,0
87,18.466841,55.851608,190,249,192,312874.81,45016,9488,.64235163,63.305561,3.703598,3697730.3,5109050.5,3988152.8,.1379948,0,0,0
168,4.533709,5.283709,67,33,50,7623,9788,2754.667,.53632879,55.09333,3.6977711,360709.03,329929.69,329929.78,.28619391,0,1,1
157,45.666672,25.430531,364,318,239,107413.1,57987,16021.33,.66472173,67.034866,3.6960289,1170151,4676395,4676394,.078546502,1,1,1
54,5.666667,2.916667,65,73,124,26247,15138,4408,.3344675,35.548389,3.676949,1044878.8,938822,938822,.077085197,0,1,1
107,4.1718178,11.756872,28,28,25,924.33337,3475,1044,.38082191,41.759998,3.673362,33269.332,221046,221046.02,.3078604,0,1,0
116,8.8148422,29.299629,45,31,124,21625.971,17644,4810.667,.38983649,38.7957,3.6676829,374157.22,1281835.8,1281835.9,.079295799,0,1,0
164,8.5639095,40.59927,102,73,89,13072,25637,7020,.789195,78.876404,3.661382,944172.19,3954953.3,3954952.8,.1256004,0,1,1
133,5,21.13484,24,70,75,706,11213,3066,.40960729,40.880001,3.657208,74037.859,596127.69,596127.56,.2212784,0,1,0
141,10.29416,3.6441629,134,159,136,14029.33,30604,8354,.61651891,61.64706,3.650286,387129.13,2296052,2287835.8,.63907272,1,1,1
91,11.75,24.846846,192,167,266,82626.656,50657.328,13945.33,.52175641,52.42606,3.632565,749894.13,2728052.8,2728052.5,.38329229,1,0,0
175,24.58333,11.138889,230,231,57,36788.449,20956,5795,1.0072581,101.6667,3.616221,319893.81,1839739.9,1839739.8,.20679469,1,1,1
124,12.15852,39.783199,86,101,143,22570,27121,7571,.51960921,52.944061,3.602205,730910.69,2249372,2249372,.2353835,0,1,0
22,36.41666,26.790291,208,207,115,72126.633,28108,7887,.66963673,68.582611,3.5679109,212820.16,288418.72,288418.75,.093533799,1,0,1
12,26.08333,9.3191214,150.8409,100,115,514791.81,21706,5837,.51711732,52.930439,3.5659599,836429.38,1091071.9,1046260.1,.2472899,1,1,1
49,6.727273,47.81818,210,255,169,237188,64340,18047,1.043041,106.787,3.565135,2634003.5,7780044.5,7780042,.034836002,0,0,1
62,7.3974628,18.530609,291,283,211,114192,58378,15869,.75800818,77.957336,3.5490301,1688072.3,7017397.5,6769960,.1898938,1,0,0
50,11.41667,33.752762,214,234,134,67715,37302,10545,.76266611,78.694031,3.5444701,1448830.3,2267337.3,2267337.5,.034836002,0,0,1
45,18.66667,16.127748,157,100,110,120400.6,17620,4832,.43885431,45.200001,3.5438459,1132903.8,1923707.5,1869540.4,.031011,1,1,1
192,18.88249,14.877497,223,135,261,33862,44149,12455,.46343359,47.81226,3.537863,1167523.8,2837687.5,2832229.8,.333105,1,1,1
156,5.6495242,3.088326,95.5,28,53,3948,8193.9678,1946,.42357031,43.811321,3.528841,494134.69,1175310.9,984993.38,.085740902,1,1,1
1,20.697439,5.6441631,172.8204,75,105,39106.898,26865.029,7734,.70097911,73.657143,3.506726,390090.16,1125408.1,1125407.6,.31146771,1,1,1
6,10.5,1.2649751,16.58333,28,50,1261,2177.677,621,.1193247,12.42,3.506726,90559.883,360813.22,360813.13,.0695742,1,1,1
9,7.818182,3.132488,60.400002,45,35,2357,1711.282,490,.1339556,14,3.506726,406229.38,533021.75,533021.5,.4258343,1,1,1
15,19.25,35.196972,237.5455,267,290,21287.99,12122.75,3458,.1145276,11.92414,3.506726,306808.5,2063162.4,2063162.5,.1739469,0,1,1
16,16.33333,68.333328,295,137,250,56359,33606,5176,.46013081,12.42,3.506726,872831.94,5568084,3361635.5,.1739469,0,0,1
18,9.1833525,24.36994,138.1667,53,50,457.66669,4670.958,1332,.25594291,26.639999,3.506726,79109.469,979299.5,979299.75,.1739469,0,1,1
118,16,21.279613,315,276,230,83013.258,43538.672,12553.33,.51862621,54.579708,3.5055289,521431.03,2501261.3,2501259.8,.15559611,1,0,0
152,12.79416,10.044163,183,200,139,55234.012,35081,10128,.6914556,72.863312,3.480258,564519.56,3225754,3225753.8,.1671638,1,1,1
60,37.44162,28,374,374,195,116853,62305,17742,.87537748,91.958977,3.474515,1383331.8,3879689.3,3838581,.1527558,1,0,0
37,17.51515,7.7736468,167.25,24,148,53971,28744,8299,.53209919,56.074329,3.474015,529195.81,1906175.9,1906175.8,.2126639,1,1,1
101,14.0736,9.6104059,119,53,245,33317.93,32941.328,9512,.3683683,38.82449,3.4631341,290022.59,2316712.3,2316712.3,.33652931,1,1,0
174,24.383249,9.1507626,139,10,97,46784,38352,11081.33,1.0832371,114.2405,3.4609549,451575.97,1261476.3,1261475.4,.52471823,1,1,1
35,15.37051,29.293261,23,49,26,353845,3585,1046,.3777661,40.23077,3.4273419,343709.03,425732,425731.84,.1167094,0,1,1
41,17.04493,14.758208,185,147,160,78382.938,41697,12165,.71398968,76.056252,3.4264939,2731902.3,4639904.5,4638380.5,.23881669,1,1,1
130,26.264971,8.0883245,337,224,102,62494.602,31407,9245,.8435939,90.637253,3.416775,628565.56,2706733.5,2706733.5,.41803151,1,1,0
53,5,32,158.5,93,81,5620.667,15084,4335,.51019788,54.567902,3.4126699,249301,624225.25,612220.75,.034836002,0,0,1
86,7.8361449,28.404509,46,137,37,30580,10417,2860,.77134389,82.540543,3.4109371,928815.56,903564.94,846167.63,.099088103,0,1,0
33,6,4.7750282,37,53,45,4234,4155,1222,.25296801,27.15556,3.4001639,187214.67,619846.63,619846.44,.1167094,0,1,1
85,5.8061819,24.745981,75,142,50,33594,18571,5463,1.017589,109.26,3.3994141,623936.81,1253716.8,1253716.4,.099088103,0,1,0
145,10.2,1.2649751,152,45,89,24665,19818,5831,.61006618,65.516853,3.398731,614655.94,1492857.3,1492857.3,.51572019,1,1,1
46,12.5,10.583333,86,28,106,29034,17208,1817,.4447661,23.602039,3.376766,243725.61,1265700.9,699636.38,.079774201,1,1,1
92,13.45148,19.476156,37,58,135,65109.91,40654.672,11605.33,.82505667,89.530861,3.363596,319020.03,1182282.1,1135199.4,.38329229,0,1,0
129,29.54546,12.090909,192,234,81,209818.5,22267,6649,.75315398,82.086418,3.3489251,480332.59,1100222.8,1100222.6,.2372721,1,1,0
198,19.75,4,119,100,91,20409.891,20239,6225.333,.60933322,68.410263,3.3309741,443095.94,949857.38,949857.56,.2121155,1,1,1
67,15.3899,15.778224,396.25,204,243,77350.328,58477,18138.67,.65930438,74.644722,3.323312,1037280.9,3128228.3,3128229.5,.1494682,1,0,0
23,15.21083,9.5377026,327,22,115,53245,20366.67,7980,.48520941,69.391296,3.296644,378809.19,1380060.4,1380060.4,.1044108,1,0,1
40,10.72519,34.624779,153,163,130,45819.422,35533,11334.67,.74885142,87.189743,3.287961,713270.56,2136501.5,2136501.5,.1289044,0,1,1
181,13.4171,11.246727,88,89,50,4502,14127,4306,.77408218,86.120003,3.280771,426698.25,759591.81,759591.75,.45034039,0,1,1
66,13.0213,26.673611,169,219,133,23119.43,35295,10949,.7270574,82.323311,3.223582,737012.56,3387695.3,3387695,.2120923,0,1,0
28,17.91667,5.2182288,104.1667,118,72,14268,15425,4798,.58694828,66.638893,3.2148809,464315.94,1045487.5,1045487.6,.0280807,1,1,1
70,19.181959,4.9279032,114,24,98,20647,25996,8090,.72675419,82.551018,3.2133501,571762.38,2107588,2107588.3,.1724295,0,1,0
173,16.88748,2.4416251,79,74,94,22115.33,23110,7552,.67356461,80.340424,3.1670549,755351,1053739.3,1053738.9,.3004719,1,1,1
69,9.0449457,14.672291,127,22,136,9979,35122,11186,.70753431,82.25,3.139818,301489,1616729.6,1616729.4,.1724295,0,1,0
61,15.92665,19.814661,561,661,316,149410.7,99788,31682,.86516392,100.6013,3.138974,1466126.3,4543918.5,4528479.5,.2142773,1,0,0
125,11.08333,15.416667,120,147,111,158149.91,23072,7430,.56946808,66.936943,3.1052489,2109589.5,4934374,4934375,.012163,1,1,0
117,8.0945702,17.831781,199,41,79,6298.667,18175,5966,.63031042,75.51899,3.0464301,286365.25,1647412.8,1647412.5,.079295799,0,1,0
38,8.946867,8.800354,124,207,44,8606,7801,2653.333,.48574099,60.303028,2.97521,164062.72,418836.31,418836.31,.2300685,0,1,1
159,9.2208128,7.0441632,157.8472,31,57,23640.23,17500,6012,.84114403,105.4737,2.9570799,310550.06,1278441.1,1278441,.1074451,1,1,1
104,12.16667,28.308069,136,134,153,76678.906,25696,8484,.46013081,56.81699,2.9559419,1424147,1973065.5,1925628.8,.076441698,0,1,0
7,16.25,8.818182,132,52,101,20000.33,21183,7172,.57461011,71.089111,2.950279,270108.78,1157402.9,1156113.5,.088644803,1,1,1
59,21.509979,18.21841,285,289,119,61197.02,27058,10968,.62295377,92.168068,2.947495,520865.09,3658552.8,3658553,.1629326,1,1,1
42,17.75499,5.1324878,169,158,110,12839,15309,5235,.38129511,47.590912,2.924355,580476,2092673,2092672.9,.1025857,1,1,1
155,10.29416,1.2060918,117,34,69,14924.67,10864,3951,.4313679,57.260872,2.9220009,310900.09,1443203.1,1443202.8,.31348541,1,1,1
44,12.83333,12.833333,227,145,128,38440.73,23254,8058.667,.49773121,62.958328,2.9158621,530108.5,2073397.8,2073398.4,.1179716,1,1,1
97,11.40325,41.22419,92,79,114,13473,25323,8686,.60857958,76.192993,2.915381,1127411.1,1898442.3,1898441.8,.15268479,0,1,0
43,11.12145,8,227,52,106,13522.67,12335,4852,.31881621,45.77359,2.876632,492228.72,1446816.5,1446816.9,.1181199,1,1,1
193,12.41667,1.3091381,84.583344,104,72,5013,12849.33,4528,.48893961,62.888889,2.842773,535880.44,1392551.3,1392552,.30264801,1,1,1
79,13,15.270144,169,58,216,84278.656,46925.328,17017.33,.59519702,78.783951,2.7902961,1227352.1,1884849.3,1884849.6,.35274851,1,0,0
24,23.33333,6.353301,24,102,112,26786.77,10204,3660,.24960861,32.67857,2.7879779,92737.914,524655.63,524655.5,.1403176,1,1,1
138,4.0729399,.76123643,101.8611,24,90,22970.67,27709.33,10262,.84351093,114.0222,2.7746329,485508.13,1586198.1,1586198.4,.66660118,0,1,1
144,5.5224729,3.044946,20.4,21,42,6904.333,3503,1271,.22850619,30.261909,2.756098,96540.133,316588.56,316588.56,.51572019,0,1,1
122,12.68531,20.03091,127,3,65,12257,7328,2672,.30887249,41.107689,2.7425151,628630.44,2064779,2064779.5,.2353835,0,1,0
132,9.8228359,20.381567,78,31,101,10154.67,26543,9324,.72000551,96.58416,2.720964,426779.53,1579236.3,1509461.4,.2212784,0,1,0
114,16,8,89.833344,413,182,47487,27999,10507,.42148131,57.73077,2.7165029,482806.78,533549.81,533549.75,.1744051,1,1,0
112,16.75,6.088325,200,12,114,45585.34,34203,12692,.82198989,111.3333,2.6948471,1016213.3,4453449.5,4453449,.42574471,1,1,0
149,11.83833,1.0883255,337,70,217,22990.67,23660,8782.667,.29871851,40.74654,2.6758649,275286.03,1015317.8,1008504.9,.62016279,1,1,1
163,12.76779,75.468132,129,102,103,5291,8511,3392,.2263865,32.932041,2.5767479,1089002.9,3215017.5,3215017.3,.1256004,0,1,1
5,6.5293689,12.225942,95.23864,17,100,9784,11368,4566.667,.31145209,45.666672,2.5690401,219069.45,876809.31,876809.19,.093109697,0,1,1
105,10.75141,30.988129,155,40,118,63807.59,26778.67,10497.33,.62174761,88.960449,2.550997,664505.13,2565325.5,2565323.8,.076441698,0,1,0
158,11.33333,4.2208128,159,113,107,41571,22244,7158,.56955582,83.04673,2.503263,1167964.4,2444615.5,1969228.1,.1406623,1,1,1
57,12.10028,14.146639,187,75,63,20817.08,13708,5646,.59612948,89.619049,2.441318,622595.75,794729.13,794729.25,.1629326,0,1,1
68,25.147461,21.970816,413,314,197,109058,35682.672,14673.33,.49624741,74.483917,2.4318039,2422984.8,4687118.5,4687118,.1724295,1,0,0
71,12.83333,12.496829,196,109,156,78501.328,31096,12863,.54611868,82.455132,2.4174759,340116.66,2418910,2418910.3,.18809479,1,1,0
17,4.1868,35.068588,179,206,220,43798,45054,18831,.56107098,85.595451,2.4075019,256572.64,2308299.8,2308300.3,.1739469,0,1,1
161,9.7762241,7.166667,109,75,101,21799,19890,8413,.53953612,83.47525,2.3591509,604901.38,2466445.5,2461179.5,.126221,1,1,1
93,5.1545911,13.144921,34,40,67,6776,3285,1429,.1343284,21.32836,2.29881,220477.97,459406.91,459406.94,.38329229,0,1,0
8,18.83333,8.2649755,173.0833,62,90,41510.891,5898,2573.333,.17954341,28.59259,2.2919691,991053.56,1440461.5,1440461.5,.13076229,1,1,1
126,4.3066912,7.7075191,15,4,76,4841.6128,2556,1144,.0921413,15.05263,2.234266,37610.273,157561.33,157561.3,.012163,0,1,0
96,19,32,249,296,224,68031.328,49655,21417,.60732633,100.6652,2.2020929,1007845.1,3256809.5,3093310.8,.15268479,1,0,0
