"id","period","fte","hours","visits","completed","key"
"LEAN-11","sesudah",75.4034000681713,2911.23160365969,4078,2930,"LEAN-11_sesudah"
"LEAN-12","sesudah",100.897692656144,2613.7215861585,4138,3827,"LEAN-12_sesudah"
"LEAN-13","sesudah",64.1524398233742,1406.06425059959,2867,2125,"LEAN-13_sesudah"
"LEAN-14","sesudah",115.352639369667,1960.87413607165,3527,2942,"LEAN-14_sesudah"
"LEAN-15","sesudah",53.7462872685865,2424.95413874276,3196,2881,"LEAN-15_sesudah"
"LEAN-16","sesudah",56.3824578886852,1565.18806270324,2498,1846,"LEAN-16_sesudah"
"LEAN-17","sesudah",51.4672187156975,1356.84250867926,2436,2292,"LEAN-17_sesudah"
"LEAN-18","sesudah",135.459885676391,1575.14745639637,4137,3705,"LEAN-18_sesudah"
"LEAN-19","sesudah",72.6868159137666,2332.18445987441,3535,3247,"LEAN-19_sesudah"
"LEAN-20","sesudah",55.7715183356777,2741.98834164999,3892,2793,"LEAN-20_sesudah"
"LEAN-21","sesudah",65.8182133454829,1482.00883883983,2663,1992,"LEAN-21_sesudah"
"LEAN-22","sesudah",106.618107995018,1808.99353218265,3658,2869,"LEAN-22_sesudah"
"LEAN-23","sesudah",59.55307520926,2155.55866733193,3625,2604,"LEAN-23_sesudah"
"LEAN-24","sesudah",110.81061991863,2303.05125438608,3252,2708,"LEAN-24_sesudah"
"LEAN-25","sesudah",91.8426857562736,1798.63304430619,2819,2552,"LEAN-25_sesudah"
"LEAN-26","sesudah",142.82837617211,2646.47150659002,4147,3440,"LEAN-26_sesudah"
"LEAN-27","sesudah",94.8600390926003,1707.59449414909,2897,2280,"LEAN-27_sesudah"
"LEAN-28","sesudah",99.2922387085855,2888.68344929069,3761,2776,"LEAN-28_sesudah"
"LEAN-29","sesudah",127.572611835785,1800.10829530656,4538,3827,"LEAN-29_sesudah"
"LEAN-30","sesudah",131.634444301017,1529.28928588517,4312,3301,"LEAN-30_sesudah"
